iter	Passed	Remaining
402	11684	133283
403	11717	133302
404	11746	133267
405	11770	133182
406	11795	133112
407	11818	133016
408	11839	132899
409	11860	132783
410	11890	132764
411	11917	132717
412	11945	132671
413	11971	132615
414	11996	132542
415	12026	132523
416	12054	132481
417	12079	132416
418	12170	133065
419	12279	133903
420	12320	134001
421	12351	133993
422	12424	134434
423	12449	134357
424	12480	134349
425	12518	134410
426	12536	134264
427	12564	134218
428	12583	134081
429	12604	133958
430	12625	133842
431	12648	133748
432	12673	133668
433	12694	133555
434	12717	133459
435	12744	133403
436	12776	133408
437	12804	133368
438	12834	133342
439	12855	133228
440	12875	133107
441	12900	133033
442	12921	132922
443	12941	132799
444	12966	132725
445	12988	132618
446	13010	132525
447	13039	132486
448	13069	132465
449	13095	132405
450	13120	132341
451	13142	132240
452	13170	132202
453	13198	132159
454	13224	132099
455	13246	131996
456	13268	131904
457	13293	131827
458	13315	131730
459	13337	131632
460	13358	131531
461	13383	131464
462	13402	131333
463	13428	131273
464	13449	131168
465	13469	131053
466	13493	130971
467	13517	130900
468	13539	130802
469	13560	130701
470	13582	130605
471	13606	130533
472	13630	130457
473	13653	130374
474	13678	130310
475	13703	130244
476	13732	130211
477	13757	130151
478	13780	130064
479	13803	129979
480	13824	129880
481	13846	129787
482	13870	129713
483	13891	129616
484	13913	129522
485	13936	129446
486	13961	129377
487	13986	129318
488	14009	129236
489	14035	129183
490	14058	129101
491	14079	129007
492	14107	128971
493	14132	128907
494	14160	128870
495	14187	128832
496	14213	128781
497	14240	128737
498	14270	128722
499	14294	128648
500	14315	128555
501	14340	128491
502	14364	128426
503	14388	128352
504	14411	128279
505	14437	128227
506	14460	128150
507	14489	128128
508	14522	128133
509	14544	128052
510	14566	127962
511	14586	127859
512	14609	127781
513	14635	127731
514	14659	127668
515	14685	127614
516	14709	127550
517	14737	127512
518	14759	127436
519	14790	127429
520	14831	127501
521	14861	127491
522	14882	127400
523	14916	127419
524	14941	127354
525	14964	127282
526	14990	127237
527	15022	127232
528	15050	127201
529	15074	127136
530	15097	127059
531	15119	126979
532	15143	126917
533	15174	126908
534	15202	126878
535	15224	126796
536	15252	126763
537	15277	126705
538	15310	126715
539	15338	126682
540	15359	126595
541	15381	126515
542	15403	126437
543	15426	126362
544	15456	126343
545	15479	126277
546	15507	126245
547	15540	126249
548	15572	126251
549	15605	126264
550	15636	126252
551	15657	126169
552	15677	126068
553	15699	125992
554	15715	125868
555	15739	125799
556	15763	125743
557	15790	125698
558	15817	125666
559	15843	125617
560	15867	125552
561	15891	125493
562	15919	125461
563	15950	125453
564	15979	125432
565	16005	125384
566	16028	125318
567	16050	125242
568	16073	125170
569	16093	125079
570	16116	125009
571	16143	124973
572	16174	124962
573	16205	124953
574	16232	124918
575	16264	124917
576	16283	124818
577	16308	124768
578	16334	124724
579	16367	124730
580	16400	124738
581	16423	124668
582	16442	124576
583	16462	124482
584	16481	124385
585	16500	124289
586	16521	124206
587	16541	124117
588	16561	124027
589	16580	123930
590	16597	123818
591	16615	123720
592	16632	123605
593	16650	123505
594	16669	123412
595	16687	123310
596	16705	123206
597	16722	123099
598	16740	122996
599	16760	122907
600	16781	122831
601	16804	122770
602	16828	122709
603	16848	122627
604	16867	122529
605	16885	122432
606	16905	122346
607	16924	122254
608	16943	122167
609	16963	122079
610	16982	121987
611	17000	121892
612	17018	121794
613	17038	121709
614	17057	121622
615	17075	121523
616	17092	121419
617	17111	121332
618	17130	121244
619	17149	121154
620	17167	121055
621	17186	120965
622	17205	120877
623	17231	120841
624	17253	120771
625	17273	120696
626	17291	120598
627	17310	120511
628	17330	120429
629	17349	120345
630	17369	120265
631	17387	120175
632	17406	120088
633	17424	119993
634	17444	119911
635	17464	119833
636	17483	119752
637	17504	119678
638	17522	119585
639	17540	119494
640	17558	119404
641	17576	119314
642	17596	119237
643	17616	119157
644	17635	119073
645	17654	118989
646	17675	118918
647	17696	118852
648	17717	118780
649	17738	118711
650	17756	118622
651	17776	118543
652	17795	118467
653	17814	118383
654	17834	118307
655	17853	118225
656	17872	118143
657	17890	118052
658	17909	117974
659	17927	117888
660	17945	117798
661	17963	117712
662	17980	117620
663	17999	117540
664	18016	117445
665	18034	117357
666	18051	117270
667	18070	117187
668	18087	117098
669	18105	117011
670	18122	116921
671	18139	116828
672	18158	116746
673	18178	116674
674	18197	116601
675	18215	116513
676	18235	116440
677	18257	116386
678	18275	116304
679	18294	116222
680	18312	116143
681	18332	116072
682	18351	115992
683	18372	115932
684	18394	115872
685	18414	115800
686	18435	115738
687	18455	115670
688	18473	115587
689	18493	115515
690	18512	115443
691	18532	115374
692	18553	115308
693	18571	115230
694	18591	115163
695	18610	115087
696	18631	115024
697	18650	114950
698	18669	114876
699	18690	114815
700	18711	114748
701	18731	114684
702	18751	114617
703	18782	114616
704	18815	114628
705	18847	114635
706	18876	114620
707	18908	114628
708	18938	114617
709	18964	114585
710	18986	114534
711	19005	114461
712	19027	114405
713	19047	114337
714	19064	114256
715	19082	114177
716	19099	114093
717	19119	114023
718	19137	113947
719	19156	113876
720	19175	113803
721	19193	113724
722	19218	113688
723	19235	113604
724	19252	113525
725	19277	113485
726	19300	113440
727	19321	113381
728	19340	113312
729	19362	113254
730	19380	113182
731	19400	113115
732	19421	113060
733	19439	112980
734	19457	112907
735	19478	112846
736	19495	112766
737	19515	112702
738	19534	112635
739	19555	112574
740	19574	112508
741	19592	112431
742	19611	112365
743	19629	112287
744	19646	112211
745	19663	112130
746	19683	112067
747	19702	111999
748	19724	111946
749	19744	111887
750	19761	111806
751	19779	111735
752	19800	111677
753	19820	111614
754	19837	111538
755	19858	111478
756	19879	111424
757	19898	111358
758	19918	111296
759	19935	111218
760	19953	111145
761	19973	111087
762	19993	111028
763	20013	110963
764	20032	110898
765	20052	110836
766	20071	110773
767	20090	110707
768	20108	110637
769	20125	110560
770	20146	110504
771	20165	110438
772	20185	110378
773	20202	110305
774	20222	110246
775	20242	110183
776	20259	110111
777	20278	110044
778	20295	109973
779	20317	109922
780	20335	109855
781	20353	109784
782	20372	109722
783	20392	109660
784	20412	109601
785	20429	109530
786	20449	109472
787	20470	109416
788	20491	109364
789	20511	109307
790	20533	109262
791	20553	109205
792	20573	109147
793	20594	109091
794	20614	109037
795	20634	108980
796	20653	108919
797	20675	108871
798	20696	108818
799	20715	108758
800	20736	108707
801	20756	108646
802	20776	108591
803	20798	108543
804	20817	108482
805	20836	108422
806	20854	108358
807	20873	108295
808	20891	108229
809	20909	108160
810	20927	108093
811	20946	108032
812	20965	107971
813	20983	107910
814	21003	107850
815	21020	107780
816	21040	107725
817	21058	107661
818	21077	107601
819	21097	107547
820	21116	107487
821	21136	107432
822	21156	107375
823	21175	107317
824	21195	107260
825	21214	107203
826	21234	107146
827	21252	107086
828	21274	107038
829	21292	106974
830	21309	106906
831	21327	106843
832	21360	106856
833	21379	106794
834	21397	106729
835	21415	106665
836	21433	106604
837	21450	106536
838	21469	106477
839	21487	106415
840	21505	106352
841	21524	106290
842	21541	106223
843	21559	106161
844	21576	106094
845	21593	106026
846	21611	105965
847	21632	105915
848	21651	105859
