TRAVEL_ID,GENDER,AGE_GRP,FCLTY_ID,FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,DGSTFN
h_h001784,여,40,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,5.0
h_h002099,남,20,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,3.0
h_h002208,남,40,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,3.0
h_h002549,남,30,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,5.0
h_h003123,여,20,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,3.0
h_h003346,여,20,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,4.0
h_h003722,남,50,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,4.0
h_h004219,남,20,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,5.0
h_h005271,여,20,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,2.0
h_h005428,여,20,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,5.0
h_h005884,남,30,12,건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,4.0
h_h000037,남,40,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000537,여,50,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h000645,여,30,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000683,여,40,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000756,여,40,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h000834,여,20,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001299,여,40,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002549,남,30,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h003266,남,40,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h006517,남,30,19,고흐의정원,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h000222,여,30,24,교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,5.0
h_h000703,여,30,24,교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,4.0
h_h000772,여,40,24,교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,5.0
h_h001076,여,30,24,교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,5.0
h_h001620,여,30,24,교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,5.0
h_h002050,남,30,24,교래자연휴양림,문화관광/명소,관광지,휴양림/수목원,5.0
h_h000047,여,50,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h000232,여,50,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h000453,여,30,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h001167,여,40,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,4.0
h_h001207,남,40,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h001257,여,50,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
h_h001433,남,50,26,국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,5.0
