FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,SIGNGU_NM,WCHAIR_HOLD_AT,DSPSN_TOILET_AT,DSPSN_PRKPLCE_AT,GUID_DOG_ACP_POSBL_AT,BRLL_GUID_AT,KLANG_VIC_GUID_AT,PARKNG_AT,FCLTY_ID,TRAVEL_ID,DGSTFN,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_COMPANIONS_NUM
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h002768,4.0,여,50,1,1,4,1,1,1,4,7,2
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h002842,5.0,여,20,2,2,3,4,6,3,3,6,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h002842,5.0,여,20,2,2,3,4,6,3,3,6,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003012,5.0,남,20,5,2,2,3,1,1,2,6,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003036,4.0,남,20,3,2,2,2,5,2,5,2,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003038,4.0,여,40,2,4,3,3,4,4,5,5,2
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003191,4.0,여,20,2,2,1,5,4,1,5,4,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003204,5.0,남,30,4,4,3,2,5,5,3,4,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003217,5.0,남,20,4,1,5,2,2,6,2,7,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003531,4.0,여,20,2,1,2,6,7,5,7,7,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003536,5.0,남,20,3,3,3,3,4,5,3,5,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003567,5.0,남,30,4,1,3,5,5,6,5,5,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003702,5.0,여,30,4,2,2,4,7,6,2,7,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003731,4.0,남,30,4,2,4,2,4,4,2,3,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003871,3.0,여,20,4,1,1,3,7,4,1,7,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003906,5.0,여,20,6,1,7,3,2,6,5,1,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h003978,3.0,여,40,1,1,1,4,7,7,7,7,2
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h004207,4.0,남,20,2,1,2,4,2,2,3,5,0
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h004233,5.0,여,20,4,2,2,2,5,2,2,2,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h004573,5.0,여,20,6,6,6,3,5,5,2,6,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h005161,5.0,여,20,1,1,4,1,4,4,2,4,0
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h005212,5.0,여,20,5,1,3,1,6,5,2,6,3
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h005308,4.0,여,30,3,2,2,2,2,3,6,4,0
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h005369,5.0,남,20,4,4,4,4,4,4,4,4,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h005433,4.0,남,20,4,1,4,3,6,4,2,4,3
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h005680,3.0,여,30,1,1,1,1,1,4,1,1,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h005746,4.0,남,30,2,1,2,2,4,6,6,7,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h006539,5.0,여,30,1,1,1,7,1,1,1,7,2
강창학종합경기장,레저/체육/공원,대형체육시설,종합운동장컴플렉스,서귀포시,0,0,1,0,0,0,1,8,h_h000138,3.0,남,40,1,4,1,4,4,4,4,4,1
갤러리2중선농원,전시/공연,전시/기념관,기타전시/박물관,제주시,0,0,0,0,0,0,0,10,h_h005014,5.0,여,20,4,1,1,7,4,3,7,7,1
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h000620,4.0,남,20,2,2,1,4,5,2,3,5,3
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h001301,4.0,여,30,4,4,2,3,4,4,5,4,1
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h001784,5.0,여,40,6,2,2,5,7,2,1,7,1
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h002099,3.0,남,20,2,2,1,5,3,1,2,5,3
건강과성박물관,전시/공연,전시/기념관,기타전시/박물관,서귀포시,1,1,1,1,0,0,1,12,h_h002208,3.0,남,40,2,2,4,3,2,4,3,6,1
